[欧美私人订制] 最懂你的欧美推荐 每日更新35首,欧美,介绍：收藏专属于你的欧美日推每天和喜欢的欧美音乐不期而遇,172万,118600800,35,15913
Butterfly（异度侵入.fgo魔兽战线）,欧美-日语-ACG,无,68,7285,8,2
英语听力合集（关爱日推 慎入！！！）,欧美-学习,介绍：2.20换个封面～啊哈哈封面网图中考高考英语听力练习新概念英语第二第三册等。等。等。等。超多收录绝对够听背得完保证英语学霸推荐睡觉用，超级催眠（学霸听也阔以吖）祝中考 高考 期中考 期末考 考研 考博 考级 月考 周考 专升本考的各位同鞋们考出好成绩乾坤未定，你我皆是黑马！,423,7243,1034,8
Nicholas Hoult || 影视作品音乐合集,欧美-流行-影视原声,介绍：男神Nicholas Hoult 国籍：英国 生日：1989年12月7日身高：190cm歌单歌曲来自他所参演的作品：英剧《皮囊》（2007）电影《X战警：第一战》（2011）电影《X战警：逆转未来》（2014）电影《X战警：天启》（2016）电影《X战警：黑凤凰》（2019）电影《温暖的尸体》（2013）,1072,7109,49,2
难言么,欧美-华语-日语,无,287,6739,2048,12
网易电台:竹逸i,欧美-摇滚-电子,介绍：既许一人以偏爱 愿尽余生之慷慨,95,5131,15,1
[Billboard]即时总榜Top 1000+(持续更新),欧美-流行-榜单,介绍：新入榜的单曲:2020.3.3 The Box ——Roddy Ricch近期更新内容:#120(+22) Circles#155(+30) Someone You Loved#547(+12) No Guidance#989(+254) The Box#1192(+44) Memories,318,5059,1000,40
如何成为一个疯疯癫癫的死宅,流行-欧美-夜晚,介绍：大过年的，总要听点什么吧！,165,5013,101,21
偷心反派 || 影视原声/BGM,欧美-流行-影视原声,介绍：Joker还我心脏歌曲部分来自《自杀小队》《小丑》一部分可以作为反派角色剪辑视频bgm仅供爱好，不支持商业活动,1048,4597,39,评论
上网课时逃课绝妙歌曲！！！,欧美-电子-轻音乐,介绍：上网课＝掩盖着玩手机（确信）持续更新,120,4715,200,16
先上DJ先上DJ|蹦迪专用,流行-电子-欧美,介绍：年轻人不听点硬核的。难道学猫叫么？歌单后面的歌都是宝藏哦~戴上耳机听直接起飞！歌曲都推荐快进到歌词部分鸭。一定是你听过的硬曲歌单里的歌都是耳熟能详滴电音音乐哦。持續更新。,547,5147,88,9
欧美迷幻/在梦里做了一个梦,欧美-另类/独立-流行,介绍：50首精选迷幻风格欧美流行乐、R&B、电音以及另类风格。欢迎来到迷幻国度，是你喜欢的调吗～,1028,4496,50,评论
清澈·英文|那些好听的冷门歌曲,工作-欧美-电子,介绍：悄悄拔尖然后惊艳To the end每个人都是星星，但是想发光就必须优秀.现在不优秀不要紧鸭！只要肯努力，没什么问题.努力，是会上瘾的.愿你的一切努力都有回报-此歌单精选那些好听未过万和未过999+的宝藏续更.....by我去做数学了.,606,3812,37,4
听说你也喜欢电子乐？,欧美-电子-舞曲,介绍：每周更新十首高质量电子乐（风格不限）,5,3833,49,评论
Matisse & Sadko 最爱的歌单,欧美-电子,介绍：This playlist is a mix of handpicked tunes of various genres by Matisse & Sadko. Check it out and enjoy!这个歌单是由我们精心挑选的各种类型的歌曲，收听愉快噢！,228,3644,81,18
Madilyn: 我和我的朋友们歌曲合集,欧美-流行,介绍：嗨，大家好～这是我的第二张歌单，里面都是我还有我的朋友们唱过的歌！有原唱，翻唱也有合唱～希望你们会喜欢❤️,553,6248,19,63
十字军之王2（CK2） BGM至3.3.1,欧美-游戏,介绍：全从游戏soundtrack，music，dlc文件夹中取得，建议倒序缺少：Original:A Simple Song For CommonersGuy de Rose's QuandaryIn TabernaSanctusdlc074(Holy Fury):Gulf Of RigaThe Fifth CrusadeVassal Of Tripoli,87,3598,86,2
RPM 86,欧美-运动-感动,介绍：2020年Q1课程,74,3593,10,2
高燃混剪/运动卡点向,欧美-电子-运动,介绍：封面中国女排丁霞神仙二传手带刀丁接应身高180.5依然是全队倒数第三矮,70,3341,15,评论
End Of Time,欧美-电子,介绍：时间尽头Remix的歌词上传,43,3711,8,5
超适合打游戏的歌,欧美-流行-夜晚,介绍：Don't speak， and kiss me more,500,2703,117,1
恒弟弟（吃鸡必备）,欧美-电子-说唱,介绍：吃鸡时候可以听(*σ´∀`)σ(自闭城钢枪),26,2728,8,评论
欧美流行，网易留给穷人的活路！,欧美-流行-学习,介绍：本歌单收录了：戳爷，黄老板，马丁，断眉等歌手和一些欧美乐队的部分歌曲，封面来源于网络，另外这个歌单曲风有点乱，希望大家别见意，多谢。ps：本歌单所有歌都免费，如果那首vip了我会立马撤出，并找出相似版本代替，感谢大家的支持！,270,2900,48,32
คนข้างหลัง(Feat.เจนนี,韩语-日语-欧美,介绍：耐听的歌和耐处的人一样不可多得 所以 慢慢等,36,3115,57,评论
CS:GO IEM 2020 Katowice卡托维兹 官方歌单,电子-欧美-运动,介绍：NaVi冲冲冲！！在2020年2月24日-3月1日波兰斯波德克竞技场的极限大师赛（IEM Katowice 2020）上，NaVi、Astralis、Faze、Liquid、Tyloo、Virtus.pro等16支精英战队将为总奖金50万美元以及2020ESL Pro巡回赛第一个大师赛冠军头衔展开激烈角逐，让我们一起期待他们的精彩表现！,115,2354,20,7
小妇人Little Women | 电影原声OST,欧美-流行-影视原声,介绍：小妇人 Little Women 2019高分电影原声BGM/OST合辑豆瓣8.7分，改编自世界名著《小妇人》，由奥斯卡提名最佳导演格雷塔.葛伟格执导，直击当代女性困惑。,51,2329,26,2
波兰电影365 dni,欧美-摇滚-驾车,介绍：部分soundtract,61,2182,22,20
XXXtentacion,说唱-孤独-欧美,介绍：这是个有才华的小伙子（歌单封面可爱一点）是佛罗里达之光是迈阿密之王X曾经在社交网络上告诉大家他有抑郁症X是个坚强的人用自己的喉咙唱出高质量人生最近很火的一句话：你是我的氟西汀但是氟西汀(Flouxetine)是抗抑郁症药大概的意思是:你是我的命 没你我会疯那你知道氟西汀副作用是:头疼 焦虑 烦躁 神经症 失眠吗 ​希望每个云村的朋友都可以天天开森！X的歌有的也没有那么丧一起摇啊~,181,2123,499,23
学霸随身听,欧美-学习,介绍：听歌学英语,161,1876,46,评论
2020年3月小秘书新歌推荐,华语-欧美-流行,介绍：天气在回暖，终于可以走在大街上，感受春日的阳光。一切都在井井有条地恢复过程中，希望也跟着蔓延。不知不觉，2020已经过去了四分之一，却又似乎刚刚开始。LOFT BEACH乐队发布了首张长专辑《Anywhere》，用十首歌将自己敏感却又温暖的心展现在大家面前，从《Blossom》的秘密花园到《Spaceman》的宇宙太空，从《Rain Day》的雨中街道到《Surfing die Blumen》的热带海滩，充满着脑洞和奇思妙想。戴上耳机，闭上眼睛，仿佛置身一场奇幻的旅行。生活中也许充满各种各样的丧，但我们应该忘掉痛苦好好去感受这个奇妙的世界。就像他们所传达的那样，「We just go， don’t look back!」《邪恶的纯真》是根据诗人王小苗的同名诗集所作的概念专辑，它将现代诗与流行音乐相结合，充满着诗意的浪漫。小秘书最喜欢《千寻未知》这首歌，它叠念了诗作《我祈愿我的心中仍然有诗》，「那是个不曾去过的人所不知道的地方」，所有矛盾、笃定、悼念与不信恍然交错，在歌手洪佩瑜原石一般真切沉着的声音中尘埃落定。其实啊，有着最多开始与希望的春天，就是最美的诗歌。这个月的综艺歌曲也有不错的表现，lala在歌手中翻唱了伍佰老师最近的大热歌曲《last dance》，比原版多了些轻柔，让人在浪漫爱情的氛围之中沉醉；四字弟弟新综艺的主题曲《朋友请听好》，温柔的声音给人无限的暖意，想到这个星球上还有朋友的陪伴，可以说说悄悄话，就有了继续努力的勇气，「远方好远，然而今天也很勇敢呐」；三字弟弟在《我们的乐队》节目中改编了自己的第一首个人单曲《树读》，重新演绎的摇滚版更多了坚定的态度和成熟的质感，小小少年真的有在好好长大。呐，这段时间的沉淀有没有也让你变成更好的大人呢？Do what you wanna do，我们都会在各自喜欢的事情里变得可爱。,54,3585,29,25
Tik Tok Hit Songs,欧美-流行-网络歌曲,介绍：都是国外Tik Tok上很火的歌，按自己的喜好精选哈哈，有推荐的小伙伴可以评论或私信奥(∗ᵒ̶̶̷̀ω˂̶́∗)੭₎₎̊₊♡,39,1808,87,13
优秀的HOUSE制作人,电子-欧美-舞曲,介绍：理想状态是一人对应一首随缘更新 #四四拍音乐funky/tech/deep,27,1687,297,18
upliftingTrance丨仿佛看到了星辰大海,欧美-电子-另类/独立,介绍：主要是来自于听众所感受到振奋的感受，运用大调小调的变幻达到快乐或悲伤的感觉，使用相似的和弦进展，大多有着较长的Breakdown，运用旋律由背景透过冲刷般的效果置前代表人物有 Ferry Corsten、Giuseppe Ottaviani、Aly & Fila、Sean Tyas、Armin Van Buuren等,449,1649,56,3
xxxtentacion是什么神仙歌手啊,欧美-说唱-流行,无,58,1624,17,2
学习 | 热血 励志 合集,欧美-学习-兴奋,介绍：总要为了自己努力一把。加油。冲鸭！！！,30,1611,51,评论
Pitchfork TOP50系列----艺术流行,欧美-流行-电子,介绍：第四其实是lorde的melodrama，但我没买每首歌都是索引 建议大家还是听专辑而不是听歌artpop的范围很广 这里面设计的专辑大部分的主tag都不是artpop，但也将就着算进去了,144,1456,49,31
First Date《第一次约会》百老汇音乐剧,欧美-浪漫,介绍：《First Date》（《第一次约会》）于2012年在西雅图ACT剧院进行全球首演，大受好评。2013年8月8日在纽约百老汇演出。2020年，中文版的《第一次约会》将在广州等多个城市上演。感兴趣的可以去看～百老汇版本:导演Bill Berry编剧Austin Winsberg作曲Alan Zachary主演Zachary Levi ， Krysta Rodriguez故事讲述了两个素未谋面，生活繁忙的都市单身男女，在家人和朋友的安排下进行了第一次约会。Aaron是保守的金融才子， 渴望寻找一段认真的恋爱关系；Casey是充满个性的艺术家， 追求自由奔放的生活。尴尬的第一次约会快要结束，却在餐厅服务员的帮忙下，Aaron和Casey之间开始产生不一样的火花……Aaron 和Casey的第一次约会，会是最后一次约会吗？还是会带来一段关系的开始？,107,1590,16,评论
After Hours,欧美-R&B/Soul-夜晚,介绍：个人推荐在晚上听～歌单信息：The Weeknd在3月20日发行的专辑《After Hours》+附加赠曲+原单曲ver.+SNL live ver. 《害怕现场》其中替换了原版专辑中的《害怕现场》、《盲光》、《无心》先行曲信息《无心》2019.11.27《盲光》2019.11.29《After Hours》2020.2.20主打 《无心》、《盲光》、《in your ass》目前各个歌曲最高pk.(只是b榜，其他自查，抱歉)Heartless #1 week 1Blinding Lights #1 week 1After Hours #20 week 1In Your Ass #16 week.1Alone Again #21 week.1Scared to Live #24 week.1Hardest to Love #25 week.1Too Late #28 week.1Snowchild #32 week.1Escape From LA #39 week.1Save Your Ass #41 week.1Faith #45 week.1Repeat After Me(interlude)#69 week.1Until I bleed Out #80 week.1All Bonus Track(未入榜)补充信息：盲光在27国（欧美地区）是冠军单曲,51,1624,17,1
抖音影视剪辑BGM,华语-欧美-粤语,介绍：抖音影视剪辑BGM,78,1409,19,评论
抖音直播PK喊麦战歌,兴奋-流行-欧美,介绍：处在直播行业的主播们都离不开PK这个环节，PK时激情、有节奏感的背景音乐，能够带动起直播间观众的热情！,47,1393,14,评论
峡谷蹦迪,欧美-摇滚-舞曲,介绍：峡谷抖腿电音必备,223,1254,76,10
FZMusic;,欧美-拉丁-R&B/Soul,介绍：我们会每期更新还没有被各大音乐平台发掘的小众音乐 可以给你一个不错的听觉体验！,37,1174,13,评论
头文字D前50名神曲,欧美-游戏,介绍：我听了16年头D音乐 三个天王歌手，逮下户也是一个天王唱的，90S也是我最佩服的歌手之一，神曲最多天王歌手之一，还有一位女天王，名字我就不打了，可以说百分之60歌曲都听过，曾经用过这些音乐坐过跑跑卡丁车视频音乐，头D最多神曲天王歌手之一，她排名第一神曲Running In The “90S”第二神曲Stop your Self Control 她其他神曲Night Of Fire 和No One Sleep ln tokyo 和Everybody's Warming和Speeby Speed Boy和Max Power 和THANK YOU-ARIGATO：以上她的这些神曲，3首能进前10 她其他歌能进前10至15名，我收藏的头D 是我听了16年头文字D歌曲，那些旋律节奏 唱的节奏音乐变化节奏重复节奏音乐好听 综合说白了就是喜欢听有些不吵有感觉的歌，还有5首找得到但是没办法收藏 版权原因，有些歌曲！是在没办法收藏 不适合循环这些，有些头D歌曲开头好听唱的部分和后面音乐节奏不好听还吵，有些开头不好听 太多了， 所以 我只代表我自己喜欢的去收藏，个人意见 收藏而已 也是个人喜欢而已，,47,1145,50,13
For 楚桐,欧美-另类/独立-孤独,介绍：这是为楚桐制作的一张歌单它们大多来自我阴郁的18岁，正好也都是楚桐喜欢的小调。希望我们把所有被误解的痛苦都随音乐释放掉，更乐观的去生活，去继续自己的梦想。加油～,136,931,18,评论
Pitchfork TOP300系列---另类摇滚,欧美-摇滚-另类/独立,介绍：我用的网站抽风，榜上一堆重复的，再加上网易云缺版权，所以说的300张，实际上连250都没到。尽管如此，这仍然是我做过体量最大的歌单了。按分数整理，前11并列满分。,113,889,245,17
收录 一切 关于狗哥的歌,华语-欧美-清新,介绍：有关于成果的所有歌狗崽崽粉丝创作的歌曲狗哥参演影视剧相关音乐（滴！男友卡 爱情公寓5）微博 狗哥参与“知竹Zz”拍摄古风短片系列背景音乐微博 狗哥参与“森画谨制”照片拍摄文案音乐斗鱼 （落地成狗狗）2020 0301 0308 0313 0314 0320直播手机播放背景音乐微博 20200304狗哥发博“隔了几年重温了下这部电影，里面的歌依旧百听不厌”并分享歌单,53,893,115,评论
王者荣耀貂蝉战歌,华语-欧美-流行,介绍：玩貂蝉的时候从这些歌中挑一首循环播放能增加你的战斗力，但是别自乱阵脚，貂蝉卡cd，逆风别浪单吃兵，稳发育，我是纯法貂蝉，可能思路不一样，但是喜欢貂蝉都是真的。笔芯❤️❤️❤️,25,901,40,3
英国|重金属&硬核金属,欧美-金属-经典,介绍：融合了极端金属和硬核朋克的音乐风格， 金属核是如同定义新金属一样困难的事情…,277,796,35,评论
Harry Styles的Apple Music歌单,欧美-怀旧-下午茶,介绍：Harry Styles 2020.3.26 做客 Beats1 Zane Lowe节目所点歌单完整版,154,842,40,3
VOL.761 躺着沙发上听我们盘点音乐吧,欧美-流行-摇滚,介绍：大内密谈vol.761 躺着沙发上听我们盘点音乐吧（全人类加油！）顺序放送。,101,792,17,8
Kurt Cobain‘s Top 50 Albums,欧美-摇滚-另类/独立,介绍：Inside Kurt Cobain’s music world,139,695,752,2
Pitchfork TOP75系列--另类RNB,欧美-流行-R&B/Soul,介绍：根据分数整理法海牛逼,66,670,72,7
吉克隽逸世界公民GlobalCitizen I-III,欧美-R&B/Soul-华语,介绍：吉克隽逸是一个非常有自己态度的歌手，这几年的进步大家都有目共睹，曲风越来越多元化，唱功也是毋庸置疑的好，无论是抒情还是动感的曲风都能驾驭，要才华有才华，要唱功有唱功，她用自己充满能量的嗓音和独立张扬的自我状态传递给听众巨大的热情和快乐，号召人们热爱生活，勇于战胜生活赋予的辛苦，去寻找真正的更多的快乐。《世界公民1》尘世/The Magical Journey/New Age/Robotic Love《世界公民2》孔雀/木棉/Ghost town/No jack/没有人像你一样/半日花园/Baila/Body Popin/末日重塑/稀有人生《世界公民3》Looking For Trouble/Power To Forgive/Only One/狩猎场/Flag/恶女无罪/Cherokee/天使的同类/惊喜派对/Already Gone,55,662,24,4
每日一厂 ᶅᶘ Samurai Music,欧美-电子-舞曲,介绍：Samurai Music，侍音楽，也被国内爱好者俗称为"武士厂"，是一家自2007年运营至今的前卫理念厂牌，由 Presha 创建于德国柏林。也正因所处地域的影响，这家bass music厂牌给人一贯带来工业的肃杀景象，它也是少有的在 Leftfield Techno 和 Leftfield Bass 两个方向都深入涉猎和开拓的无解厂牌，尤其融合 Techno 黑科技的极简空拍玩法已在逐年演变中化作"武士厂之魂"(尤以 Homemade Weapons、Overlook、Clarity、Ruffhouse 等制作人为甚)；Samurai Music 在低音界的地位也是难以比拟的， 厂牌旗下制作人普遍崇尚试验精神的创造，这其实也恰恰是 bass music 好汀耐玩的地方。除上述括号列举的厂牌调性代表人物，擅长 Leftfield Bass 的 Synth Sense ，把噪音艺术和萨满鼓玩到出神入化的 Ancestral Voices 以及极致黑暗氛围走向的 Theme 也都拥有极高辨识度。"武士厂"发展至今有几个重要时刻：1. 2008年由主攻 Neurofunk 的制作组 State Of Mind 签发了厂牌首张作品 TRUE STORIES；2. 2012年'Way of the Samurai 2 'Code of Honour''武士道合集的发布显现出大量试验想法；3. 厂牌日后究极大神 Homemade Weapons 在2013年底签约并发行个人EP：KINTARO,64,645,79,2
LOVE ‖ Billboard官网史上最佳50首LGBTQ曲,欧美-感动-榜单,介绍：Billboard官网评选史上最佳50首LGBTQ曲(我不是原创，我只是搬运者),84,599,50,5
张婧之｜全英文节奏控车载music,欧美-驾车-后摇,介绍：网易云告诉我们你不是一个人在听音乐.有没有发现，在电子音乐这个圈子里面的人，都是温文尔雅的，理智冷静且有内涵的.没有狂热追星的病态也没有相互攻击和摸黑，更多的是对艺人的称赞和对音乐发自内心的感想.电子音乐更像是艺术品，只有懂的人才会去欣赏.,18,603,26,评论
Pitchfork TOP150系列---实验摇滚,摇滚-朋克-欧美,介绍：婊叉没有做过实验摇滚的排行榜，这个是根据分数整理的，但是那个网站有点抽风，不能保证顺序全对。体量超大的一个歌单，经典神专与冷门新专都有涉及，让乐迷们一次听个痛快。Tips：this heat入选的不是tago mago，是health and efficiency，但网易云没有。half japanese入选了三张，但其中两张网易云没有原专只有合集，故以此代替。,82,582,144,11
[硬派+硬核]We Love Harder Styles Vol.3,欧美-电子-兴奋,介绍：We Love Harder Styles系列歌单第3期正式来袭极致Hard Dance Music兴奋剂即将来袭请各位接收好这一波狂野到爆炸的炸弹We Love Harder Styles！！！,16,565,281,7
我的世界rainimator完整歌单,欧美,介绍：这个歌单里面集合的我的世界破碎的所有歌曲，包括网易没有收录的。因为播放网易云没有收录的，不会再歌单显示，大家可以找歌单作者下载。（免费）,8,553,6,评论
芬兰|重金属&哥特金属,欧美-金属-经典,介绍：芬兰以每100万人拥有630个金属乐队的数量排在了欧洲金属乐队排行第一位。他们融合了既苦又甜的pop旋律的特质，在艺术性上获得极高的评价。,277,515,35,评论
Tay过Crazy的推歌小歌单厚,欧美-华语,介绍：emm想做一个推歌博主 又不想码很多字惹 所以就创建了这个歌单 每天早中晚各精选一首歌 欢迎查收,34,515,90,10
丧（英文伤感歌曲）,日语-欧美,无,13,515,32,评论
哈利奎因:猛禽小队插曲,欧美-影视原声,介绍：此歌单为部分插曲，个人喜欢,6,544,9,评论
玉溪BABIROOM主场Psy trance-2,欧美,无,49,464,5,评论
英 文,欧美-流行,无,55,385,100,评论
艺术流行 ‖ 领悟音乐的折衷主义,流行-欧美-摇滚,介绍：每个时代都有一群游离于流行乐边缘的音乐人他们不与大红大紫的流行歌手争宠，将自己套进或另类或先锋的外衣中，试图用个性化的尝试在流行乐基础上探索无限可能。于是，一批无法用“Pop”来简单概括，又没有其他明确风格标签可以归类的流行音乐，给自己划出了一块领地。而“Art Pop”便成为了这块领地代名词。艺术流行乐是一种将流行音乐的旋律与非传统的或实验性的元素相融合的体裁，如渐进式结构的运用、不寻常的时间特征、突然的节奏变化、人声实验（如寻找最高音调、延长人声或使用喉音等声乐技巧）、交响乐、管弦乐和音乐表演，或添加各种电子元件。在90年代以前，最具代表性的Art Pop音乐人非Kate Bush莫属，最初她在《The Kick Inside》以一架钢琴及自己纤细又清甜的高音给流行音乐带来了融合古典乐的气息，这种形式也影响了90年代Tori Amos等重要的Art Pop音乐人。她后来又突破自己，在《Hounds of Love》中给自己的音乐加入更多复杂的元素，并取得极佳的商业成绩。90年代以后，Bjork无疑是这一领域当 之无愧的女王。视觉形象大胆，唱腔独一无二，音乐形式又融合了实验电子元素，她从各个方面来看都给流行乐坛带来了极大的冲击。进入新世纪以后，更多大胆有想法的音乐人开 始涉足这种非传统的流行音乐，Fiona Apple、Florence + The Machine、St. Vincent、BonIver、Alt-J、 Lana Del Rey、AURORA等都是颇受歌迷追捧的代表。「萌新劝退：艺术流行是口味较难调和的流派，但喜欢欧美音乐和另类音乐的乐迷们不要错过，选的歌也是在不失去其特色的同时，尽量流行化了，以更易get到艺术流行的“怪异”流行美，希望各位喜欢！如果有很多人想听更实验的我日后也会做的」注意：此类歌单并非艺术流行引索歌单，只是以艺术流行风格为主！做这种冷门歌单的起因主要是发现云音乐这种正规歌单十分少，想让更多人了解这种风格，感兴趣的也可以听听我做的其他冷门流派的歌单。2020-3-28 by 英格兰的童话歌单⑥.,4,393,40,评论
新概念英语 3（口语交际）,学习-放松-欧美,介绍：come and learning Engilish !,55,326,60,4
无歌词/无翻译,欧美-电子-日语,介绍：无歌词/无翻译,20,288,90,32
TRZ,说唱-流行-欧美,介绍：Nice englishi songs！！！,4,296,43,1
爵士名盘再来100张,欧美-爵士-午休,介绍：这个是@野三坡坡坡 那张爵士100名盘的后续，请配合他的歌单食用。缺Sonny Stitt---Endgame Brilliance:Constellation and tune-upJoe "king" Oliver--- Creole Jazz Band RecordingsFats Navarro and Tadd Dameron---Fats Navaaro and Tadd Dameron: The complete Blue Note and Capitol Recordings +3而begin the beguine被网易分成了三份所以多了两份-2正好是目前的99张啦,104,246,99,5
[Billboard]Peak 11大盘点(00年代至今),欧美-流行-榜单,介绍：盘点那些年遗憾没进Hot 100前十名的单曲感谢 @Charlie_Mars缺少单曲：I Get The Bag ——Gucci Mane Featuring Migos,24,254,93,21
总有你心仪的电音歌曲,欧美-电子-说唱,无,8,196,71,4
英文ヾ,欧美-放松,介绍：节奏贼爱的一个私人歌单、,32,221,16,评论
适合视频卡点剪辑BGM的音乐,欧美-摇滚-电子,介绍：B站大佬们用的踩点卡节奏用的神曲，超燃,7,196,74,评论
全球999首典藏音乐,欧美-轻音乐-古典,介绍：全球典藏音乐，带来不一样的视听感受,23,196,24,评论
Bright’s Share,欧美-韩语,介绍：Musics Bright share,72,427,46,16
慕楠直播歌单,欧美-电子-工作,无,23,177,58,评论
Double Casting Original Numbers,欧美-经典,介绍：韩国本土音乐剧OST几乎莫得（这部分有翻唱也会收录）啥时候看啥时候更新,35,191,68,评论
[DJ Snake]Ultra Music Festival 2020.3.8,欧美-电子-舞曲,介绍：01-Carte Blanche (Intro Edit)02-Virtual Riot - Hysteria03-DJ Snake & Eptic - SouthSide04-Crankdat & Tisoki - Wobble05-A Different Way (KANDY Remix)06-Do You Like Bass?07-Better Off Alone vs. Gassed Up (JAUZ Mashup)08-DJ Snake & Yellow Claw - Ocho Cinco 09-Work vs. Lunatic vs. The End vs. Kernkraft 400 vs. M.F.U10-Gammer - The Drop 11-Travis Scott ft. Drake - Sicko Mode 12-GTA & Vlien Boy - DJ Tool 8 13-The Devil's Den (VIP)14-Aazar & GODAMN - Big Beat15-Enzo (Malaa Remix)16-Try Me (Outro Edit) 17-Lean On (Outro Edit)18-Made In France19-JAUZ & Nonsens - The Beat20-Badjokes - ID21-Aazar & BELLECOUR - Da Vinci 22-Lockdown (Live Edit) 23-Quiet Storm (Live Edit) 24-Rock You Bust Squad (Senor Roar Edit)25-Sheck Wes - Mo Bamba 26-Zeds Dead & YOOKiE - Ruff 27-DJ Snake - Trust Nobody28-DJ Snake ft. J Balvin & Tyga - Loco Contigo 29-Taki Taki 30-Middle (Outro Edit)31-Let Me Love You (2020 Live Edit),9,183,22,评论
2020 VG.Ori and the Will of the Wisps,游戏-感动-欧美,介绍：Ori and the Will of the WispsOriginal Soundtrack奥日与萤火意志原声音乐===========================Music composed by Gareth Coker游戏又名“精灵与萤火意志”（官方译法）及“奥日与鬼火意志”。时隔五年，再次相遇，春夏秋冬，周而复始，向死而生，追寻光明。感谢Ori给我们带来这一段难忘的故事。Moon工作室 / Microsoft Studio出品2020.VideoGame in PC/Xbox One,21,172,60,评论
JIDA & Rachel Lim (shuffle),放松-欧美,介绍：JIDA、Rachel Lim合作曲High FadeBlindStarlightAutumn Breeze,33,212,10,评论
渐进出神 | 遨游太空探索神秘领域,欧美-电子-另类/独立,介绍："听到progressive trance的时候是什么感觉?""我仿佛看到了星辰大海"主要收录ProgressiveTrance 少量传统或其它风格Trance！持续更新中。。,430,168,51,评论
细雨寄情丝——关于雨的英文歌,欧美-流行-伤感,介绍：关于下雨的歌，有欢快的，有悲伤的，也有释然的。,65,154,29,21
每日一厂 ᶅᶘ 1985 Music,欧美-电子-舞曲,介绍：1985 Music 是一家能真正让听众感触到低音内核的厂牌，并没有太多高门槛的试验或花哨做法，但发行作品给人统一的印象是低音厚重而灵活，暗流涌动，纵深极佳。很大程度上源于创始者英国制作人 Alix Perez 的高超技术和包容性;一个主观评价：也许它尚且跻身不到 Drum & Bass 最强行列，但也正是因为1985有着 Leftfield Bass 、Halftime、Deep Dubstep、Wonky 的附加值，它仍是一家非常杰出的 bass music 爱好者必知厂牌；这帮bass制作人就在你耳边，并且像强人也在纷纷加入。如果你感觉暂时hold不住，音色设计鬼才EPROM，以及他与 Alix Perez 组成的 SHADES 不论如何也别错过 ,51,164,80,评论
那些风格不同，却好听到骨子里的歌～,华语-欧美-流行,介绍：超级用心精选的歌单！大家喜欢可以收藏啊，每天会更新的，谢谢,229,155,105,4
欧美好货|Rockstar my life,欧美-说唱-流行,介绍：欧美好货合集 DJ!Drop da beat!,7,157,217,1
emmmm,欧美-电子,无,12,146,72,2
迪士尼电影原声合集,欧美-影视原声,介绍：本歌单收录《疯狂动物城》《冰雪奇缘》《海洋奇缘》《寻梦环游记》《无敌破坏王》《阿拉丁》《狮子王》《玩具总动员》《小飞象》《花木兰》《爱丽丝梦游仙境记》《美女与野兽》等迪士尼电影的主题曲，电影插曲。感谢迪士尼，给我们一个美好的童年，无论老少都适合看迪士尼的电影，这些电影也教给我们很多，经典良心的原声也给我们留下了很深的印象。未收录纯音乐配乐原声，且都是较新的电影不定期跟新,17,157,42,评论
Kate Bush十大喜爱专辑,欧美,介绍：来源外网（网址见歌单评论）【KB粉必听系列】一张专辑选一首歌作为索引As Told to Smash Hits Magazine for the November 27 - December 10， 1980在她的第三张录音室专辑《Never For Ever》​释出后的几个月，Kate列出了这份歌单。下面是KB本人对各个专辑有所喜爱的简要理由：①Frank Zappa【Overnite Sensation】“Montana”是我听过第一首Zappa的歌，它一直是我的最爱。②A.L. Lloyd & Eran MacColl :【Blow Boys Blow】我从小就有这张专辑。③The Eagles【 One of These Nights】在我和Lindsay Kemp一起学习的时候，我狂热般地听这张专辑​，而且这也让我想起了他。④David Bowie 【Young Americans】这张专辑让我想起了1976年，那干旱的夏天和敞开的窗户。⑤The Beatles【Sgt Pepper's Lonely Hearts Club Band 】因为这是一张拥有众多优秀歌曲的专辑。⑥Eberhard Weber【 Fluid Rustle】就像给你的大脑按摩一样舒服。⑦Captain Beefheart【Blue Jeans and Moonbeams 】这是他写情歌的第一张专辑。⑧Stevie Wonder【The Secret Life of Plants 】因为这张专辑就像是一部情感充沛的现代交响乐。⑨Pink Floyd【The Wall】因为这张专辑让我想起了去年的（也就是1979年）圣诞节和明火，并且我希望能写下来。⑩The TV National Iranian Chamber Orchestra 【Treasures of the Baroque Era】因为它能让我的大脑安静下来，我在做文书工作的时候听。事实上在包括在写这份歌单的时候！（PS：这张古典专网易好像没有，于是找了一首在此专的一首歌放进来）●如果有不妥或者错误的地方可以再留言吼​,48,134,10,16
